[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 49522 	 time: 	 1.5772 	 chachingFFE: 	 664781	 chachingPop: 	 425697	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 49672 	 time: 	 1.6151 	 chachingFFE: 	 683545	 chachingPop: 	 436783	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 49768 	 time: 	 1.6577 	 chachingFFE: 	 702270	 chachingPop: 	 447962	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 49875 	 time: 	 1.6951 	 chachingFFE: 	 720735	 chachingPop: 	 459390	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 49981 	 time: 	 1.7378 	 chachingFFE: 	 739242	 chachingPop: 	 470777	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50121 	 time: 	 1.7753 	 chachingFFE: 	 757919	 chachingPop: 	 481960	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50226 	 time: 	 1.8070 	 chachingFFE: 	 776656	 chachingPop: 	 493118	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50338 	 time: 	 1.8407 	 chachingFFE: 	 795332	 chachingPop: 	 504330	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50442 	 time: 	 1.8777 	 chachingFFE: 	 813968	 chachingPop: 	 515590	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50539 	 time: 	 1.9178 	 chachingFFE: 	 832801	 chachingPop: 	 526660	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50654 	 time: 	 1.9604 	 chachingFFE: 	 851400	 chachingPop: 	 537946	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50749 	 time: 	 2.0066 	 chachingFFE: 	 870182	 chachingPop: 	 549069	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50815 	 time: 	 2.0528 	 chachingFFE: 	 888941	 chachingPop: 	 560244	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50875 	 time: 	 2.0955 	 chachingFFE: 	 907513	 chachingPop: 	 571612	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 50930 	 time: 	 2.1383 	 chachingFFE: 	 926026	 chachingPop: 	 583044	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51004 	 time: 	 2.1808 	 chachingFFE: 	 944424	 chachingPop: 	 594572	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51067 	 time: 	 2.2207 	 chachingFFE: 	 962922	 chachingPop: 	 606011	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51124 	 time: 	 2.2575 	 chachingFFE: 	 981530	 chachingPop: 	 617346	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51175 	 time: 	 2.2927 	 chachingFFE: 	 1000189	 chachingPop: 	 628636	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51267 	 time: 	 2.3352 	 chachingFFE: 	 1018646	 chachingPop: 	 640087	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51327 	 time: 	 2.3779 	 chachingFFE: 	 1037128	 chachingPop: 	 651545	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51393 	 time: 	 2.4216 	 chachingFFE: 	 1055530	 chachingPop: 	 663077	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51437 	 time: 	 2.4634 	 chachingFFE: 	 1074338	 chachingPop: 	 674225	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51494 	 time: 	 2.5065 	 chachingFFE: 	 1092916	 chachingPop: 	 685590	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51571 	 time: 	 2.5475 	 chachingFFE: 	 1111734	 chachingPop: 	 696695	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51660 	 time: 	 2.5848 	 chachingFFE: 	 1130366	 chachingPop: 	 707974	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51743 	 time: 	 2.6270 	 chachingFFE: 	 1148949	 chachingPop: 	 719308	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51814 	 time: 	 2.6705 	 chachingFFE: 	 1167613	 chachingPop: 	 730573	NoFFEiter:	 0
