[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.0994 	 chachingFFE: 	 72956	 chachingPop: 	 8115	NoFFEiter:	 30
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.1270 	 chachingFFE: 	 73234	 chachingPop: 	 8361	NoFFEiter:	 31
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.1589 	 chachingFFE: 	 73494	 chachingPop: 	 8591	NoFFEiter:	 32
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.1811 	 chachingFFE: 	 73762	 chachingPop: 	 8831	NoFFEiter:	 33
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.2002 	 chachingFFE: 	 74038	 chachingPop: 	 9079	NoFFEiter:	 34
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.2217 	 chachingFFE: 	 74311	 chachingPop: 	 9332	NoFFEiter:	 35
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.2496 	 chachingFFE: 	 74546	 chachingPop: 	 9559	NoFFEiter:	 36
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.2820 	 chachingFFE: 	 74821	 chachingPop: 	 9808	NoFFEiter:	 37
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.3049 	 chachingFFE: 	 75083	 chachingPop: 	 10050	NoFFEiter:	 38
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.3330 	 chachingFFE: 	 75337	 chachingPop: 	 10280	NoFFEiter:	 39
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.3553 	 chachingFFE: 	 75640	 chachingPop: 	 10555	NoFFEiter:	 40
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.3810 	 chachingFFE: 	 75913	 chachingPop: 	 10798	NoFFEiter:	 41
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.3975 	 chachingFFE: 	 76192	 chachingPop: 	 11051	NoFFEiter:	 42
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.4192 	 chachingFFE: 	 76457	 chachingPop: 	 11296	NoFFEiter:	 43
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.4411 	 chachingFFE: 	 76724	 chachingPop: 	 11533	NoFFEiter:	 44
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.4614 	 chachingFFE: 	 76990	 chachingPop: 	 11773	NoFFEiter:	 45
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.4838 	 chachingFFE: 	 77285	 chachingPop: 	 12028	NoFFEiter:	 46
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.5054 	 chachingFFE: 	 77596	 chachingPop: 	 12307	NoFFEiter:	 47
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.5279 	 chachingFFE: 	 77828	 chachingPop: 	 12519	NoFFEiter:	 48
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.5483 	 chachingFFE: 	 78083	 chachingPop: 	 12748	NoFFEiter:	 49
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.5710 	 chachingFFE: 	 78354	 chachingPop: 	 12997	NoFFEiter:	 50
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.5911 	 chachingFFE: 	 78628	 chachingPop: 	 13239	NoFFEiter:	 51
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.6130 	 chachingFFE: 	 78879	 chachingPop: 	 13470	NoFFEiter:	 52
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.6339 	 chachingFFE: 	 79203	 chachingPop: 	 13756	NoFFEiter:	 53
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.6562 	 chachingFFE: 	 79483	 chachingPop: 	 14008	NoFFEiter:	 54
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.6766 	 chachingFFE: 	 79763	 chachingPop: 	 14266	NoFFEiter:	 55
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.6968 	 chachingFFE: 	 80065	 chachingPop: 	 14542	NoFFEiter:	 56
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 18514 	 time: 	 1.7183 	 chachingFFE: 	 80323	 chachingPop: 	 14778	NoFFEiter:	 57
