[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1108 	 time: 	 0.2572 	 chachingFFE: 	 962	 chachingPop: 	 1056	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1140 	 time: 	 0.2776 	 chachingFFE: 	 994	 chachingPop: 	 1076	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1171 	 time: 	 0.2869 	 chachingFFE: 	 1027	 chachingPop: 	 1100	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1194 	 time: 	 0.2970 	 chachingFFE: 	 1068	 chachingPop: 	 1122	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1227 	 time: 	 0.3048 	 chachingFFE: 	 1099	 chachingPop: 	 1158	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1259 	 time: 	 0.3138 	 chachingFFE: 	 1131	 chachingPop: 	 1181	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1290 	 time: 	 0.3222 	 chachingFFE: 	 1164	 chachingPop: 	 1199	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1319 	 time: 	 0.3395 	 chachingFFE: 	 1199	 chachingPop: 	 1233	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1350 	 time: 	 0.3510 	 chachingFFE: 	 1232	 chachingPop: 	 1276	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1378 	 time: 	 0.3649 	 chachingFFE: 	 1268	 chachingPop: 	 1322	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1406 	 time: 	 0.3768 	 chachingFFE: 	 1303	 chachingPop: 	 1349	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1438 	 time: 	 0.3826 	 chachingFFE: 	 1335	 chachingPop: 	 1367	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1464 	 time: 	 0.3945 	 chachingFFE: 	 1373	 chachingPop: 	 1394	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1492 	 time: 	 0.4004 	 chachingFFE: 	 1408	 chachingPop: 	 1423	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1520 	 time: 	 0.4107 	 chachingFFE: 	 1443	 chachingPop: 	 1447	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1546 	 time: 	 0.4177 	 chachingFFE: 	 1481	 chachingPop: 	 1469	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1574 	 time: 	 0.4263 	 chachingFFE: 	 1517	 chachingPop: 	 1492	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 1602 	 time: 	 0.4348 	 chachingFFE: 	 1553	 chachingPop: 	 1533	NoFFEiter:	 0
