[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12910 	 time: 	 1.1001 	 chachingFFE: 	 173167	 chachingPop: 	 951923	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12923 	 time: 	 1.1276 	 chachingFFE: 	 177424	 chachingPop: 	 977653	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12929 	 time: 	 1.1548 	 chachingFFE: 	 181332	 chachingPop: 	 1003739	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12948 	 time: 	 1.1813 	 chachingFFE: 	 186227	 chachingPop: 	 1028825	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12971 	 time: 	 1.2124 	 chachingFFE: 	 191268	 chachingPop: 	 1053761	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12983 	 time: 	 1.2422 	 chachingFFE: 	 195070	 chachingPop: 	 1079947	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 12994 	 time: 	 1.2683 	 chachingFFE: 	 199619	 chachingPop: 	 1105387	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 13005 	 time: 	 1.2976 	 chachingFFE: 	 204651	 chachingPop: 	 1130344	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 13010 	 time: 	 1.3268 	 chachingFFE: 	 209767	 chachingPop: 	 1155223	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 13014 	 time: 	 1.3556 	 chachingFFE: 	 213739	 chachingPop: 	 1181247	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 13015 	 time: 	 1.3843 	 chachingFFE: 	 216958	 chachingPop: 	 1208027	NoFFEiter:	 1
[PRW LOG] best fitness: 	 15.00000000 	 ffe: 	 13032 	 time: 	 1.4122 	 chachingFFE: 	 221620	 chachingPop: 	 1233348	NoFFEiter:	 1
